numeric_time,Temperature (C)
599400.0,-262.91303656671414
599520.0,-262.9139591038611
599640.0,-262.9148614748186
599760.0,-262.91580833785974
599880.0,-262.9167195082459
600000.0,-262.91764196099814
600120.0,-262.9185734009155
600240.0,-262.9194570841511
600360.0,-262.9203696851753
600480.0,-262.921249366395
600600.0,-262.9221502926983
600840.0,-262.923057576377
600960.0,-262.92398058254986
601080.0,-262.9248921319865
601200.0,-262.92579960424706
601320.0,-262.9267481342404
601440.0,-262.92768360768343
601560.0,-262.9286002003452
601680.0,-262.92951562823055
601800.0,-262.93045498634046
601920.0,-262.93136256345826
602160.0,-262.93231391851566
602280.0,-262.93325201854293
602400.0,-262.9341209348428
602520.0,-262.9350307908293
602640.0,-262.93596458193963
602760.0,-262.93688386053526
602880.0,-262.9377608468235
603000.0,-262.938639598888
603120.0,-262.93953563480164
603240.0,-262.94045799939533
603360.0,-262.9413453427325
603600.0,-262.9422500684331
603720.0,-262.9431308797485
603840.0,-262.9440280172917
603960.0,-262.9449182221924
604080.0,-262.94581405871
604200.0,-262.94672942080024
604320.0,-262.9476560157644
604440.0,-262.9485835846055
604560.0,-262.2638157536034
604680.0,-262.26478013187767
604800.0,-262.265747193487
605040.0,-262.26672219850445
605160.0,-262.2676949753412
605280.0,-262.2686666409008
605400.0,-262.2696413083357
605520.0,-262.270618642916
605640.0,-262.27159237476985
605760.0,-262.27256482819814
605880.0,-262.27353673751315
606000.0,-262.27452047528885
606120.0,-262.2754984146457
606240.0,-262.2764754605439
606480.0,-262.27745104183305
606600.0,-262.2784279153046
606720.0,-262.279408685542
606840.0,-262.2803804056837
606960.0,-262.2813574882445
607080.0,-262.2823326367416
607200.0,-262.2833013065887
607320.0,-262.2842774562842
607440.0,-262.2852496394471
607560.0,-262.28622132663287
607680.0,-262.2871980391351
607920.0,-262.2881719642454
608040.0,-262.2891427434648
608160.0,-262.2901173332435
608280.0,-262.291091340298
608400.0,-262.29206923556086
608520.0,-262.2930450901882
608640.0,-262.29402028217424
608760.0,-262.29499678911634
608880.0,-262.295975433161
609000.0,-262.2969513149788
609120.0,-262.29792903751314
609360.0,-262.2988989030564
609480.0,-262.2998731018307
609600.0,-262.3008441602642
609720.0,-262.30181643402966
609840.0,-262.3027843180101
609960.0,-262.3037530709886
610080.0,-262.3047205090083
610200.0,-262.3056908640723
610320.0,-262.3066642424074
610440.0,-262.3076320798262
610680.0,-262.3086030219121
610800.0,-262.3095736666201
610920.0,-262.3105470469056
611040.0,-262.31151790186806
611160.0,-262.3124888773422
611280.0,-262.3134603683101
611400.0,-262.3144321492456
611520.0,-262.3153997138769
611640.0,-262.31636666145147
611760.0,-262.3173328603344
611880.0,-262.3183001505082
612120.0,-262.31926529281225
612240.0,-262.32022980840657
612360.0,-262.32119179237293
612480.0,-262.32216125717423
612600.0,-262.3231296964735
612720.0,-262.32409276360744
612840.0,-262.3250591232928
612960.0,-262.32602355334967
613080.0,-262.32698977428737
613200.0,-262.32795684555714
613320.0,-262.3289230136058
613560.0,-262.3298886709013
613680.0,-262.33085430392543
613800.0,-262.3318136491381
613920.0,-262.33277275521385
614040.0,-262.33373609970283
614160.0,-262.33469944609084
614280.0,-262.3356666711654
614400.0,-262.33662976257483
614520.0,-262.33759207449964
614640.0,-262.33855208274247
614760.0,-262.33951089098
615000.0,-262.34047382284336
615120.0,-262.3414390052749
615240.0,-262.3424024710367
615360.0,-262.3433612126075
615480.0,-262.3443171222761
615600.0,-262.34528311951755
615720.0,-262.346243461616
615840.0,-262.3472025118673
615960.0,-262.3481606291078
616080.0,-262.34911983247014
616200.0,-262.35008089753967
616440.0,-262.35104438050564
616560.0,-262.3520216755266
616680.0,-262.35300183596684
616800.0,-262.3539377329687
616920.0,-262.3548767721924
617040.0,-262.35583980837225
617160.0,-262.3567976182359
617280.0,-262.35775835130704
617400.0,-262.950654903263
617520.0,-262.9515668002048
617640.0,-262.9524725545069
617880.0,-262.9533706774256
618000.0,-262.95428520745804
618120.0,-262.95520141147784
618240.0,-262.95612460598403
618360.0,-262.9851730205065
618480.0,-262.9860755035229
618600.0,-262.3856632638413
618720.0,-262.3865885378634
618840.0,-262.38751652524803
618960.0,-262.3884513800365
619200.0,-262.3893818828471
619320.0,-262.3903129966227
619440.0,-262.3912445044598
619560.0,-262.392172138303
619680.0,-262.39310079074346
619800.0,-262.39402983325107
619920.0,-262.39495970053173
620040.0,-262.3958877717724
620160.0,-262.3968130214549
620280.0,-262.39773483567586
620400.0,-262.3986590138721
620640.0,-262.3995878403999
620760.0,-262.400515909146
620880.0,-262.40144555271087
621000.0,-262.40237279913134
621120.0,-262.40329927880015
621240.0,-262.4042262514608
621360.0,-262.40515323550574
621480.0,-262.4060784953812
621600.0,-262.40700172142454
621720.0,-262.4079269013018
621840.0,-262.4088524840986
622080.0,-262.40977800385855
622200.0,-262.41070207662034
622320.0,-262.4116241186118
622440.0,-262.4125471057978
622560.0,-262.41346875323313
622680.0,-262.41438722999726
622800.0,-262.4153116909488
622920.0,-262.4162320208774
623040.0,-262.4171521768892
623160.0,-262.4180757166131
623280.0,-262.41899522768097
623520.0,-262.4199182145141
623640.0,-262.4208426359588
623760.0,-262.4217646790442
623880.0,-262.4226842525987
624000.0,-262.42360403273386
624120.0,-262.42452139774224
624240.0,-262.42544109891617
624360.0,-262.4263587271139
624480.0,-262.4272766258407
624600.0,-262.4281951634527
624720.0,-262.4291104893034
624960.0,-262.4300257469408
625080.0,-262.43093963456624
625200.0,-262.4318537279639
625320.0,-262.43276823420763
625440.0,-262.43368078996525
625560.0,-262.4345947607087
625680.0,-262.43550533337213
625800.0,-262.4364163943133
625920.0,-262.4373236710671
626040.0,-262.43823736978493
626160.0,-262.4391460260433
626400.0,-262.4400612698452
626520.0,-262.4409721566564
626640.0,-262.4418868047913
626760.0,-262.44280050525947
626880.0,-262.4437167708612
627000.0,-262.4446328778519
627120.0,-262.44554531725845
627240.0,-262.44646000431544
627360.0,-262.4473758047869
627480.0,-262.4482920797266
627720.0,-262.44920543391333
627840.0,-262.45011854081264
627960.0,-262.4510297968182
628080.0,-262.4519393147765
628200.0,-262.4528457843234
628320.0,-262.4537563445259
628440.0,-262.4546700029447
628560.0,-262.4555851153927
628680.0,-262.456496195597
628800.0,-262.45740575210215
628920.0,-262.45831431851127
629160.0,-262.4592199243793
629280.0,-262.46012548063493
629400.0,-262.46103261205104
629520.0,-262.4619394441933
629640.0,-262.4628395388304
629760.0,-262.46373948344666
629880.0,-262.4646411487538
630000.0,-262.4655407600177
630120.0,-262.4664423294995
630240.0,-262.4673461392304
630360.0,-262.46825240159484
630600.0,-262.4691595124439
630720.0,-262.4700645972479
630840.0,-262.47095934582694
630960.0,-262.47186491590355
631080.0,-262.4727733711917
631200.0,-262.4736836624745
631320.0,-262.4745843710139
